parameter_id,parameter_value,incremental_cost_jpy,incremental_qaly,icer_jpy_per_qaly,incremental_net_monetary_benefit_jpy,cost_effective_at_wtp
hospitalization_attribution_fraction,0.0,55700.51201,0.002803353875770021,19869240.37362221,-41683.74263114989,False
hospitalization_attribution_fraction,0.005,55696.73280504816,0.002805672726026778,19851471.730247904,-41668.36917491427,False
hospitalization_attribution_fraction,0.01,55692.95360009632,0.002807991576283535,19833732.433701847,-41652.99571867865,False
hospitalization_attribution_fraction,0.015,55689.17439514448,0.0028103104265402926,19816022.411339846,-41637.622262443016,False
hospitalization_attribution_fraction,0.02,55685.39519019264,0.0028126292767970498,19798341.590757295,-41622.24880620739,False
hospitalization_attribution_fraction,0.025,55681.6159852408,0.002814948127053807,19780689.89978815,-41606.87534997177,False
hospitalization_attribution_fraction,0.03,55677.83678028896,0.0028172669773105646,19763067.266503956,-41591.50189373614,False
hospitalization_attribution_fraction,0.035,55674.057575337116,0.0028195858275673214,19745473.6192129,-41576.128437500505,False
hospitalization_attribution_fraction,0.04,55670.27837038528,0.002821904677824078,19727908.886458796,-41560.75498126489,False
hospitalization_attribution_fraction,0.045,55666.499165433444,0.002824223528080836,19710372.997020137,-41545.38152502927,False
hospitalization_attribution_fraction,0.05,55662.7199604816,0.0028265423783375935,19692865.87990913,-41530.00806879363,False
hospitalization_attribution_fraction,0.055,55658.94075552976,0.0028288612285943503,19675387.464370765,-41514.63461255801,False
hospitalization_attribution_fraction,0.06,55655.16155057792,0.002831180078851108,19657937.6798818,-41499.261156322376,False
hospitalization_attribution_fraction,0.065,55651.38234562608,0.0028334989291078656,19640516.456149876,-41483.88770008675,False
hospitalization_attribution_fraction,0.07,55647.60314067424,0.002835817779364622,19623123.723112542,-41468.51424385113,False
hospitalization_attribution_fraction,0.075,55643.823935722394,0.002838136629621379,19605759.410936303,-41453.1407876155,False
hospitalization_attribution_fraction,0.08,55640.04473077056,0.002840455479878137,19588423.45001572,-41437.76733137987,False
hospitalization_attribution_fraction,0.085,55636.26552581872,0.0028427743301348944,19571115.770972468,-41422.39387514425,False
hospitalization_attribution_fraction,0.09,55632.486320866876,0.002845093180391651,19553836.304654386,-41407.02041890862,False
hospitalization_attribution_fraction,0.095,55628.707115915044,0.0028474120306484084,19536584.982134588,-41391.646962673,False
hospitalization_attribution_fraction,0.1,55624.9279109632,0.0028497308809051656,19519361.734710522,-41376.27350643737,False
hospitalization_attribution_fraction,0.105,55621.14870601136,0.0028520497311619233,19502166.493903086,-41360.900050201744,False
hospitalization_attribution_fraction,0.11,55617.369501059526,0.0028543685814186805,19484999.191455696,-41345.526593966126,False
hospitalization_attribution_fraction,0.115,55613.59029610768,0.0028566874316754377,19467859.75933338,-41330.15313773049,False
hospitalization_attribution_fraction,0.12,55609.81109115584,0.0028590062819321945,19450748.129721917,-41314.77968149487,False
hospitalization_attribution_fraction,0.125,55606.031886204,0.0028613251321889517,19433664.235026885,-41299.40622525924,False
hospitalization_attribution_fraction,0.13,55602.25268125216,0.002863643982445709,19416608.00787282,-41284.032769023615,False
hospitalization_attribution_fraction,0.135,55598.47347630032,0.0028659628327024666,19399579.381102305,-41268.65931278799,False
hospitalization_attribution_fraction,0.14,55594.694271348475,0.002868281682959224,19382578.2877751,-41253.28585655236,False
hospitalization_attribution_fraction,0.145,55590.91506639664,0.00287060053321598,19365604.66116727,-41237.91240031674,False
hospitalization_attribution_fraction,0.15,55587.1358614448,0.002872919383472738,19348658.43477027,-41222.53894408111,False
hospitalization_attribution_fraction,0.155,55583.35665649296,0.0028752382337294954,19331739.542290144,-41207.16548784548,False
hospitalization_attribution_fraction,0.16,55579.57745154112,0.0028775570839862526,19314847.91764661,-41191.79203160985,False
hospitalization_attribution_fraction,0.165,55575.79824658928,0.00287987593424301,19297983.49497221,-41176.41857537423,False
hospitalization_attribution_fraction,0.17,55572.01904163744,0.0028821947844997675,19281146.20861147,-41161.0451191386,False
hospitalization_attribution_fraction,0.17500000000000002,55568.2398366856,0.0028845136347565243,19264335.993120033,-41145.671662902976,False
hospitalization_attribution_fraction,0.18,55564.46063173376,0.0028868324850132815,19247552.783263806,-41130.29820666735,False
hospitalization_attribution_fraction,0.185,55560.68142678192,0.0028891513352700387,19230796.51401814,-41114.92475043173,False
hospitalization_attribution_fraction,0.19,55556.902221830074,0.0028914701855267963,19214067.120566964,-41099.55129419609,False
hospitalization_attribution_fraction,0.195,55553.12301687824,0.0028937890357835535,19197364.53830197,-41084.17783796047,False
hospitalization_attribution_fraction,0.2,55549.3438119264,0.0028961078860403108,19180688.70282176,-41068.80438172485,False
hospitalization_attribution_fraction,0.20500000000000002,55545.564606974556,0.002898426736297068,19164039.549931042,-41053.430925489214,False
hospitalization_attribution_fraction,0.21,55541.785402022724,0.0029007455865538248,19147417.01563979,-41038.0574692536,False
hospitalization_attribution_fraction,0.215,55538.00619707088,0.0029030644368105824,19130821.036162414,-41022.68401301796,False
hospitalization_attribution_fraction,0.22,55534.22699211904,0.00290538328706734,19114251.547916982,-41007.31055678234,False
hospitalization_attribution_fraction,0.225,55530.4477871672,0.0029077021373240964,19097708.487524386,-40991.93710054672,False
hospitalization_attribution_fraction,0.23,55526.66858221536,0.002910020987580854,19081191.791807503,-40976.563644311085,False
hospitalization_attribution_fraction,0.23500000000000001,55522.88937726352,0.0029123398378376113,19064701.39779045,-40961.19018807546,False
hospitalization_attribution_fraction,0.24,55519.11017231168,0.0029146586880943685,19048237.242697738,-40945.81673183984,False
hospitalization_attribution_fraction,0.245,55515.33096735984,0.002916977538351126,19031799.263953496,-40930.44327560421,False
hospitalization_attribution_fraction,0.25,55511.551762408,0.002919296388607883,19015387.39918068,-40915.06981936859,False
hospitalization_attribution_fraction,0.255,55507.772557456155,0.00292161523886464,18999001.586200263,-40899.696363132956,False
hospitalization_attribution_fraction,0.26,55503.993352504316,0.0029239340891213978,18982641.763030477,-40884.32290689733,False
hospitalization_attribution_fraction,0.265,55500.214147552484,0.002926252939378155,18966307.867886018,-40868.949450661705,False
hospitalization_attribution_fraction,0.27,55496.43494260064,0.0029285717896349117,18949999.83917726,-40853.57599442608,False
hospitalization_attribution_fraction,0.275,55492.6557376488,0.002930890639891669,18933717.6155095,-40838.20253819045,False
hospitalization_attribution_fraction,0.28,55488.87653269696,0.002933209490148426,18917461.13568217,-40822.82908195483,False
hospitalization_attribution_fraction,0.28500000000000003,55485.09732774512,0.0029355283404051834,18901230.33868808,-40807.4556257192,False
hospitalization_attribution_fraction,0.29,55481.31812279328,0.002937847190661941,18885025.163712654,-40792.082169483576,False
