arm,symptomatic_covid,secondary_symptomatic_covid,total_symptomatic_covid,observed_all_cause_hospitalizations,hospitalizations,icu_admissions,mechanical_ventilation,deaths,pcc_cases,pcc_person_years
pep,23.560000000000002,0.0,23.560000000000002,0.184946,0.184946,0.0,0.0,0.022193519999999998,0.0,0.0
no_pep,98.93,0.0,98.93,0.7766004999999999,0.7766004999999999,0.0,0.0,0.09319206,0.0,0.0
