parameter_id,parameter_value,incremental_cost_jpy,incremental_qaly,icer_jpy_per_qaly,incremental_net_monetary_benefit_jpy,cost_effective_at_wtp
p_death_given_hospital,0.0,54944.671019632005,0.0028100892608788506,19552642.60981096,-40894.22471523775,False
p_death_given_hospital,0.002,54944.671019632005,0.0028177065053162278,19499784.990369547,-40856.138493050865,False
p_death_given_hospital,0.004,54944.671019632005,0.0028253237497536036,19447212.38563323,-40818.05227086399,False
p_death_given_hospital,0.006,54944.671019632005,0.002832940994190981,19394922.496549513,-40779.9660486771,False
p_death_given_hospital,0.008,54944.671019632005,0.0028405582386283584,19342913.048726488,-40741.879826490214,False
p_death_given_hospital,0.01,54944.671019632005,0.002848175483065735,19291181.792103045,-40703.793604303326,False
p_death_given_hospital,0.012,54944.671019632005,0.002855792727503112,19239726.50062438,-40665.707382116445,False
p_death_given_hospital,0.014,54944.671019632005,0.0028634099719404894,19188544.971922703,-40627.62115992956,False
p_death_given_hospital,0.016,54944.671019632005,0.0028710272163778665,19137635.02700301,-40589.534937742676,False
p_death_given_hospital,0.018000000000000002,54944.671019632005,0.002878644460815243,19086994.509933844,-40551.44871555579,False
p_death_given_hospital,0.02,54944.671019632005,0.00288626170525262,19036621.28754294,-40513.362493368906,False
p_death_given_hospital,0.022,54944.671019632005,0.0028938789496899976,18986513.249117717,-40475.27627118202,False
p_death_given_hospital,0.024,54944.671019632005,0.002901496194127374,18936668.306110475,-40437.19004899514,False
p_death_given_hospital,0.026000000000000002,54944.671019632005,0.002909113438564751,18887084.391848147,-40399.10382680825,False
p_death_given_hospital,0.028,54944.671019632005,0.002916730683002128,18837759.46124674,-40361.01760462137,False
p_death_given_hospital,0.03,54944.671019632005,0.0029243479274395053,18788691.490530115,-40322.93138243448,False
p_death_given_hospital,0.032,54944.671019632005,0.0029319651718768824,18739878.47695321,-40284.84516024759,False
p_death_given_hospital,0.034,54944.671019632005,0.002939582416314259,18691318.438529566,-40246.75893806071,False
p_death_given_hospital,0.036000000000000004,54944.671019632005,0.002947199660751636,18643009.413763046,-40208.67271587383,False
p_death_given_hospital,0.038,54944.671019632005,0.002954816905189013,18594949.461383738,-40170.58649368694,False
p_death_given_hospital,0.04,54944.671019632005,0.00296243414962639,18547136.66008792,-40132.50027150006,False
p_death_given_hospital,0.042,54944.671019632005,0.0029700513940637673,18499569.108282015,-40094.41404931317,False
p_death_given_hospital,0.044,54944.671019632005,0.0029776686385011436,18452244.9238305,-40056.32782712629,False
p_death_given_hospital,0.046,54944.671019632005,0.0029852858829385216,18405162.243807632,-40018.241604939394,False
p_death_given_hospital,0.048,54944.671019632005,0.0029929031273758988,18358319.22425304,-39980.15538275251,False
p_death_given_hospital,0.05,54944.671019632005,0.003000520371813275,18311714.03993096,-39942.06916056563,False
p_death_given_hospital,0.052000000000000005,54944.671019632005,0.003008137616250652,18265344.884093147,-39903.982938378744,False
p_death_given_hospital,0.054,54944.671019632005,0.0030157548606880294,18219209.968245447,-39865.896716191855,False
p_death_given_hospital,0.056,54944.671019632005,0.0030233721051254056,18173307.521917805,-39827.81049400498,False
p_death_given_hospital,0.058,54944.671019632005,0.0030309893495627837,18127635.792437773,-39789.724271818086,False
p_death_given_hospital,0.06,54944.671019632005,0.0030386065940001595,18082193.044707492,-39751.638049631205,False
p_death_given_hospital,0.062,54944.671019632005,0.0030462238384375375,18036977.560983866,-39713.55182744432,False
p_death_given_hospital,0.064,54944.671019632005,0.003053841082874914,17991987.640662227,-39675.465605257436,False
p_death_given_hospital,0.066,54944.671019632005,0.003061458327312291,17947221.600063037,-39637.379383070554,False
p_death_given_hospital,0.068,54944.671019632005,0.003069075571749668,17902677.7722219,-39599.293160883666,False
p_death_given_hospital,0.07,54944.671019632005,0.0030766928161870453,17858354.506682634,-39561.20693869678,False
p_death_given_hospital,0.07200000000000001,54944.671019632005,0.0030843100606244224,17814250.16929342,-39523.12071650989,False
p_death_given_hospital,0.074,54944.671019632005,0.0030919273050617987,17770363.14200596,-39485.034494323016,False
p_death_given_hospital,0.076,54944.671019632005,0.003099544549499176,17726691.822677612,-39446.94827213613,False
p_death_given_hospital,0.078,54944.671019632005,0.0031071617939365526,17683234.62487643,-39408.86204994924,False
p_death_given_hospital,0.08,54944.671019632005,0.0031147790383739297,17639989.977689035,-39370.77582776236,False
p_death_given_hospital,0.082,54944.671019632005,0.003122396282811307,17596956.325531352,-39332.68960557547,False
p_death_given_hospital,0.084,54944.671019632005,0.003130013527248683,17554132.127962075,-39294.60338338859,False
p_death_given_hospital,0.08600000000000001,54944.671019632005,0.003137630771686061,17511515.85949883,-39256.5171612017,False
p_death_given_hospital,0.088,54944.671019632005,0.0031452480161234383,17469106.009437077,-39218.43093901481,False
p_death_given_hospital,0.09,54944.671019632005,0.0031528652605608146,17426901.08167158,-39180.34471682793,False
p_death_given_hospital,0.092,54944.671019632005,0.0031604825049981917,17384899.59452044,-39142.25849464105,False
p_death_given_hospital,0.094,54944.671019632005,0.003168099749435569,17343100.080551755,-39104.17227245416,False
p_death_given_hospital,0.096,54944.671019632005,0.003175716993872946,17301501.086412687,-39066.08605026727,False
p_death_given_hospital,0.098,54944.671019632005,0.0031833342383103223,17260101.172661033,-39027.99982808039,False
p_death_given_hospital,0.1,54944.671019632005,0.0031909514827477004,17218898.91359916,-38989.913605893504,False
p_death_given_hospital,0.10200000000000001,54944.671019632005,0.0031985687271850775,17177892.897110403,-38951.827383706615,False
p_death_given_hospital,0.10400000000000001,54944.671019632005,0.003206185971622454,17137081.724497683,-38913.741161519734,False
p_death_given_hospital,0.106,54944.671019632005,0.003213803216059831,17096464.010324493,-38875.65493933285,False
p_death_given_hospital,0.108,54944.671019632005,0.003221420460497208,17056038.382258117,-38837.568717145965,False
p_death_given_hospital,0.11,54944.671019632005,0.0032290377049345852,17015803.480915096,-38799.48249495908,False
p_death_given_hospital,0.112,54944.671019632005,0.0032366549493719624,16975757.95970881,-38761.396272772196,False
p_death_given_hospital,0.114,54944.671019632005,0.003244272193809339,16935900.484699287,-38723.31005058531,False
p_death_given_hospital,0.116,54944.671019632005,0.003251889438246716,16896229.73444506,-38685.223828398426,False
p_death_given_hospital,0.11800000000000001,54944.671019632005,0.0032595066826840925,16856744.39985714,-38647.137606211545,False
p_death_given_hospital,0.12,54944.671019632005,0.00326712392712147,16817443.18405501,-38609.05138402466,False
p_death_given_hospital,0.122,54944.671019632005,0.003274741171558846,16778324.802224655,-38570.965161837776,False
p_death_given_hospital,0.124,54944.671019632005,0.003282358415996224,16739387.981478503,-38532.87893965089,False
p_death_given_hospital,0.126,54944.671019632005,0.0032899756604336003,16700631.460717434,-38494.792717464006,False
p_death_given_hospital,0.128,54944.671019632005,0.0032975929048709783,16662053.990494551,-38456.70649527712,False
