parameter_id,parameter_value,incremental_cost_jpy,incremental_qaly,icer_jpy_per_qaly,incremental_net_monetary_benefit_jpy,cost_effective_at_wtp
drug_cost_pep,0.0,5314.671019632,0.00326712392712147,1626712.4046055211,11020.94861597535,True
drug_cost_pep,200.0,5514.671019632,0.00326712392712147,1687928.325538221,10820.94861597535,True
drug_cost_pep,400.0,5714.671019632,0.00326712392712147,1749144.246470921,10620.94861597535,True
drug_cost_pep,600.0,5914.671019632,0.00326712392712147,1810360.167403621,10420.94861597535,True
drug_cost_pep,800.0,6114.671019632,0.00326712392712147,1871576.0883363208,10220.94861597535,True
drug_cost_pep,1000.0,6314.671019632,0.00326712392712147,1932792.0092690208,10020.94861597535,True
drug_cost_pep,1200.0,6514.671019632,0.00326712392712147,1994007.9302017207,9820.94861597535,True
drug_cost_pep,1400.0,6714.671019632,0.00326712392712147,2055223.8511344206,9620.94861597535,True
drug_cost_pep,1600.0,6914.671019632,0.00326712392712147,2116439.7720671208,9420.94861597535,True
drug_cost_pep,1800.0,7114.671019632,0.00326712392712147,2177655.6929998207,9220.94861597535,True
drug_cost_pep,2000.0,7314.671019632,0.00326712392712147,2238871.6139325206,9020.94861597535,True
drug_cost_pep,2200.0,7514.671019632,0.00326712392712147,2300087.5348652205,8820.94861597535,True
drug_cost_pep,2400.0,7714.671019632,0.00326712392712147,2361303.4557979205,8620.94861597535,True
drug_cost_pep,2600.0,7914.671019632,0.00326712392712147,2422519.3767306204,8420.94861597535,True
drug_cost_pep,2800.0,8114.671019632,0.00326712392712147,2483735.2976633203,8220.94861597535,True
drug_cost_pep,3000.0,8314.671019632,0.00326712392712147,2544951.2185960202,8020.948615975351,True
drug_cost_pep,3200.0,8514.671019632,0.00326712392712147,2606167.13952872,7820.948615975351,True
drug_cost_pep,3400.0,8714.671019632,0.00326712392712147,2667383.06046142,7620.948615975351,True
drug_cost_pep,3600.0,8914.671019632,0.00326712392712147,2728598.98139412,7420.948615975351,True
drug_cost_pep,3800.0,9114.671019632,0.00326712392712147,2789814.90232682,7220.948615975351,True
drug_cost_pep,4000.0,9314.671019632,0.00326712392712147,2851030.82325952,7020.948615975351,True
drug_cost_pep,4200.0,9514.671019632,0.00326712392712147,2912246.74419222,6820.948615975351,True
drug_cost_pep,4400.0,9714.671019632,0.00326712392712147,2973462.6651249197,6620.948615975351,True
drug_cost_pep,4600.0,9914.671019632,0.00326712392712147,3034678.5860576197,6420.948615975351,True
drug_cost_pep,4800.0,10114.671019632,0.00326712392712147,3095894.5069903196,6220.948615975351,True
drug_cost_pep,5000.0,10314.671019632,0.00326712392712147,3157110.4279230195,6020.948615975351,True
drug_cost_pep,5200.0,10514.671019632,0.00326712392712147,3218326.3488557194,5820.948615975351,True
drug_cost_pep,5400.0,10714.671019632,0.00326712392712147,3279542.2697884194,5620.948615975351,True
drug_cost_pep,5600.0,10914.671019632,0.00326712392712147,3340758.1907211193,5420.948615975351,True
drug_cost_pep,5800.0,11114.671019632,0.00326712392712147,3401974.111653819,5220.948615975351,True
drug_cost_pep,6000.0,11314.671019632,0.00326712392712147,3463190.032586519,5020.948615975351,True
drug_cost_pep,6200.0,11514.671019632,0.00326712392712147,3524405.953519219,4820.948615975351,True
drug_cost_pep,6400.0,11714.671019632,0.00326712392712147,3585621.874451919,4620.948615975351,True
drug_cost_pep,6600.0,11914.671019632,0.00326712392712147,3646837.795384619,4420.948615975351,True
drug_cost_pep,6800.0,12114.671019632,0.00326712392712147,3708053.716317319,4220.948615975351,True
