arm,symptomatic_covid,secondary_symptomatic_covid,total_symptomatic_covid,observed_all_cause_hospitalizations,hospitalizations,outpatient_cases,icu_admissions,mechanical_ventilation,deaths,pcc_cases,pcc_person_years,postacute_profile_cases,intervention_cost_jpy,acute_healthcare_cost_jpy,pcc_cost_jpy,postacute_cost_jpy,total_cost_jpy,acute_morbidity_qaly_loss,mortality_qaly_loss,pcc_qaly_loss,postacute_qaly_loss,adverse_event_qaly_loss,total_qaly_loss,weighted_inpatient_cost_jpy,weighted_inpatient_los_days
pep,0.02356,0.0,0.02356,0.000184946,0.000184946,0.023375054000000003,0.0,0.0,2.2193519999999998e-05,0.0,0.0,0.02353780648,57730.0,870.6693747840001,0.0,0.0,58600.669374784,0.00011859922099383987,0.0001435807633986137,0.00075909425898,0.00075909425898,0.0,0.0010212742433724537,1304431.0,21.0
no_pep,0.09893,0.0,0.09893,0.0007766005,0.0007766005,0.0981533995,0.0,0.0,9.319205999999999e-05,0.0,0.0,0.09883680794000001,0.0,3655.998355152,0.0,0.0,3655.998355152,0.00049800598187269,0.0006029051325562332,0.0031874870560650004,0.0031874870560650004,0.0,0.004288398170493923,1304431.0,21.0
