parameter_id,parameter_value,incremental_cost_jpy,incremental_qaly,icer_jpy_per_qaly,incremental_net_monetary_benefit_jpy,cost_effective_at_wtp
postacute_cost_per_surviving_symptomatic_case,0.0,54944.671019632005,0.00326712392712147,16817443.18405501,-38609.05138402466,False
postacute_cost_per_surviving_symptomatic_case,2000.0,54794.073016712,0.00326712392712147,16771348.206858141,-38458.45338110465,False
postacute_cost_per_surviving_symptomatic_case,4000.0,54643.475013792005,0.00326712392712147,16725253.229661278,-38307.85537818466,False
postacute_cost_per_surviving_symptomatic_case,6000.0,54492.877010872005,0.00326712392712147,16679158.252464412,-38157.25737526466,False
postacute_cost_per_surviving_symptomatic_case,8000.0,54342.279007952005,0.00326712392712147,16633063.275267545,-38006.65937234466,False
postacute_cost_per_surviving_symptomatic_case,10000.0,54191.681005032005,0.00326712392712147,16586968.298070678,-37856.06136942466,False
postacute_cost_per_surviving_symptomatic_case,12000.0,54041.083002112005,0.00326712392712147,16540873.320873814,-37705.46336650466,False
postacute_cost_per_surviving_symptomatic_case,14000.0,53890.484999192005,0.00326712392712147,16494778.343676947,-37554.86536358466,False
postacute_cost_per_surviving_symptomatic_case,16000.0,53739.886996272005,0.00326712392712147,16448683.36648008,-37404.26736066466,False
postacute_cost_per_surviving_symptomatic_case,18000.0,53589.288993352005,0.00326712392712147,16402588.389283214,-37253.66935774466,False
postacute_cost_per_surviving_symptomatic_case,20000.0,53438.690990432005,0.00326712392712147,16356493.412086349,-37103.07135482466,False
postacute_cost_per_surviving_symptomatic_case,22000.0,53288.092987512005,0.00326712392712147,16310398.434889482,-36952.47335190466,False
postacute_cost_per_surviving_symptomatic_case,24000.0,53137.494984592005,0.00326712392712147,16264303.457692616,-36801.87534898466,False
postacute_cost_per_surviving_symptomatic_case,26000.0,52986.896981672005,0.00326712392712147,16218208.48049575,-36651.27734606466,False
postacute_cost_per_surviving_symptomatic_case,28000.0,52836.298978752,0.00326712392712147,16172113.503298882,-36500.67934314465,False
postacute_cost_per_surviving_symptomatic_case,30000.0,52685.700975832005,0.00326712392712147,16126018.526102018,-36350.08134022466,False
postacute_cost_per_surviving_symptomatic_case,32000.0,52535.102972912005,0.00326712392712147,16079923.548905151,-36199.48333730466,False
postacute_cost_per_surviving_symptomatic_case,34000.0,52384.504969992,0.00326712392712147,16033828.571708282,-36048.88533438465,False
